,SA2 Code,SA2 Name,Rent2006,Rent2011,Rent2016,Rent%2006-2011,Rent%2011-2016,Rent%2006_2016,House_avg2006,House_avg2011,House_avg2016,House%2006_2011,House%2011_2016,House%2006_2016,Income_total_2006,Income_total_2011,Income_total_2016,Income%2006_2011,Income%2011_2016,Income%2006_2016,2006 Bachelor 25 and over,2011 Bachelor 25 and over,2016 Bachelor 25 and over,Bachelor%2006-2011,Bacherlor%2011-2016,Bacherlor%2006-2016,Sum2006-2011,Sum2011-2016,Sum2006-2016
160,507041181,Melville,224,549,549,1.45,0,1.45,2.44,2.53,2.59,0.04,0.02,0.06,1249,1999,2499,0.6,0.25,1,2587,3260,3859,0.05,0.03,0.08,2.14,0.3,2.59
21,503021042,Subiaco - Shenton Park,224,549,549,1.45,0,1.45,2.08,2.12,2.19,0.02,0.03,0.05,1249,2999,2499,1.4,-0.17,1,4459,5474,6439,0.06,0.02,0.08,2.93,-0.12,2.58
68,505021089,Karrinyup - Gwelup - Carine,224,549,549,1.45,0,1.45,2.68,2.72,2.76,0.02,0.01,0.03,1249,2999,2499,1.4,-0.17,1,3325,4145,4969,0.04,0.03,0.08,2.91,-0.13,2.56
60,505011081,Padbury,224,374,549,0.67,0.47,1.45,2.57,2.62,2.59,0.02,-0.01,0.01,1249,1999,2499,0.6,0.25,1,836,1147,1353,0.05,0.04,0.09,1.34,0.75,2.55
52,505011073,Greenwood - Warwick,224,374,549,0.67,0.47,1.45,2.57,2.61,2.6,0.01,0,0.01,1249,1999,2499,0.6,0.25,1,1511,1984,2311,0.06,0.03,0.08,1.34,0.75,2.54
57,505011078,Kingsley,224,549,549,1.45,0,1.45,2.78,2.7,2.66,-0.03,-0.01,-0.04,1249,1999,2499,0.6,0.25,1,1352,1814,2197,0.05,0.04,0.1,2.07,0.28,2.51
54,505011075,Hillarys,224,549,549,1.45,0,1.45,2.91,2.88,2.86,-0.01,-0.01,-0.02,1249,2999,2499,1.4,-0.17,1,1511,1911,2275,0.04,0.04,0.08,2.88,-0.14,2.51
56,505011077,Joondalup - Edgewater,224,374,549,0.67,0.47,1.45,2.65,2.6,2.53,-0.02,-0.03,-0.05,1249,1999,2499,0.6,0.25,1,1281,1781,2320,0.05,0.05,0.1,1.3,0.74,2.5
159,507041180,Leeming,224,549,549,1.45,0,1.45,3.04,2.95,2.86,-0.03,-0.03,-0.06,1249,1999,2499,0.6,0.25,1,1806,2220,2488,0.06,0.03,0.09,2.08,0.25,2.48
47,504031068,The Vines,224,549,549,1.45,0,1.45,2.92,2.9,2.93,-0.01,0.01,0,1249,3000,2499,1.4,-0.17,1,431,655,1232,0.03,-0.01,0.02,2.87,-0.17,2.47
